id,title,description,price,purchases,desc_length
62363,Vegetarian,Risblanding med grøntsager og special krydderier,139.0,0.0,48
62364,Lamb,Lammekød med krydret risblanding,155.0,0.0,32
62365,Chicken,Risblanding med tandoori kyllingekød og speciel krydderier,149.0,0.0,58
62366,Shrimp,Rejer med krydret risblanding,155.0,0.0,29
62367,Beef,Oksekød med krydret risblanding,0.0,0.0,31
62368,Lamb garam masala,Krydret lammekød tilberedt i en let krydret karrysauce,129.0,0.0,54
62369,Lamb spinach,Krydret lammekød tilberedt i karrysauce og spinat,139.0,0.0,49
62370,Lam Roghan Josh,"Krydret lammekød med yoghurt, mandler, rosiner og safran",139.0,0.0,56
62371,Lamb alo,Lammekød med kartofler tilberedt i en let krydret karrysauce,129.0,0.0,60
62372,Butter lamb,"Krydret lammekød med rosiner, mandler i tomatsauce og smør, tilsat tandoori krydderi",145.0,0.0,84
62373,Lamb tikka masala,Marineret i krydret yogurt tilberedt i ovn og derefter tilberedt i masala(speciel krydret blanding af løg og tomater,145.0,0.0,116
62374,Lamb shahi korma,"Krydret lammekød tilberedt med karry, mandler og safran i flødesauce",145.0,0.0,68
62375,Lamb vindaloo,"Lammekød tilberedt i meget stærk krydret sauce med rød chili
OBS! kan ikke tilberedes mild",145.0,0.0,90
62376,Lamb acharia,Lammekød med pickle masala sauce,155.0,0.0,32
62378,Beef garam masala,Oksekød tilberedt i speciel karrysauce,149.0,0.0,38
62379,Beef koft masala,"Hakket oksekødskebab - serveres med løg, tomater og krydret sauce",155.0,0.0,65
62380,Beef vindaloo,"Oksekød tilberedt i meget stærke krydderier og rød chilli
OBS! Kan ikke tilberedes mild",149.0,0.0,87
62381,Beef aloo,Oksekød tilberedt med kartofler og curry sauce,149.0,0.0,46
62382,Beef korma,"Krydret oksekød tilberedt med karry, mandler og safran i flødeauce",155.0,0.0,66
62384,Rice pulao,Stegt basmati ris (let krydret),21.0,4.0,31
62385,Chana pulao,Kikærter i stegte basmati ris,29.0,4.0,29
62387,Chappatthi,Tyndt varmt brød lavet af chappathi med special mel,19.0,0.0,51
62388,Paratha,"Brød lavet af chappathi på panden, stegt i smør",27.0,0.0,47
62389,Naan,Ovnbagt hvedebrød,21.0,0.0,17
62396,Raita,"Yoghurtdressing med agurker, tomater og kartofler",27.0,0.0,49
62397,Achaar,"Mixed pickles med mango, grøn chili og krydderier",19.0,0.0,49
62398,Mango chutney,Sweet og sour krydret mango chutney,15.0,0.0,35
