item_id,item_name,profit,profit_price_up,profit_cost_down
480369,Unspecified,0.0,0.0,0.0
480504,Dyblse,165.0,173.25,165.0
480518,Kildevand,325.0,341.25,325.0
480860,Franskbrød med Ost/Rullepølse,450.0,472.5,450.0
481242,Unspecified,0.0,0.0,0.0
481299,Unspecified,0.0,0.0,0.0
483207,Unspecified,0.0,0.0,0.0
483265,Unspecified,0.0,0.0,0.0
483581,Unspecified,0.0,0.0,0.0
483750,Unspecified,0.0,0.0,0.0
484062,Unspecified,0.0,0.0,0.0
484314,Unspecified,0.0,0.0,0.0
485011,Ekstra Tilbehor - Alm,70.0,73.5,70.0
485574,Tuborg alm,490.0,514.5,490.0
485825,Pose,70.0,73.5,70.0
485826,Bukser,0.0,0.0,0.0
485827,Jakker,0.0,0.0,0.0
485828,T-Shirt,0.0,0.0,0.0
485829,Sweatshirt,0.0,0.0,0.0
485830,Khamis,0.0,0.0,0.0
485831,Pyjamas,0.0,0.0,0.0
485832,Undertøj,0.0,0.0,0.0
485833,Tracksuit,0.0,0.0,0.0
485834,Nederdel,0.0,0.0,0.0
485835,Kjole,0.0,0.0,0.0
485836,Hijab,0.0,0.0,0.0
485837,Fodboldtøj,0.0,0.0,0.0
485840,Mand,0.0,0.0,0.0
486001,Unspecified,0.0,0.0,0.0
486674,Unspecified,0.0,0.0,0.0
487123,Unspecified,0.0,0.0,0.0
487854,Hvidløgsmayo,420.0,441.0,420.0
487857,Mayonnaise,115.0,120.75,115.0
487859,Chili mayo,65.0,68.25,65.0
487860,Pommessovs,85.0,89.25,85.0
487865,Odense Pilsner,260.0,273.0,260.0
489580,Fløde,216.0,226.8,216.0
489609,Mandel,462.0,485.1000000000001,462.0
489610,Soya,456.0,478.80000000000007,456.0
489691,Brød Togo,390.0,409.5,390.0
489698,Dagens Kage,440.0,462.0,440.0
489699,Biscotti,480.0,504.0,480.0
491021,Chili i bæger,375.0,393.75,375.0
493619,Kradser,184.0,193.20000000000002,184.0
493666,Franske,128.0,134.4,128.0
493667,Store Brød,176.0,184.8,176.0
495349,Sportbolle,330.0,346.5,330.0
495361,Lille Saft,387.0,406.35,387.0
495411,Slikkepinde,370.0,388.5,370.0
495439,Fransk Hotdog,450.0,472.5,450.0
495441,Extra Tilbehør,145.0,152.25,145.0
495451,Kvinde,0.0,0.0,0.0
495452,Øreringe,0.0,0.0,0.0
495456,Ringe,0.0,0.0,0.0
495461,Halskæde,0.0,0.0,0.0
495475,Hat,0.0,0.0,0.0
495476,Tørklæde,0.0,0.0,0.0
495487,Ansigtscreme,0.0,0.0,0.0
495488,Full Body Creme,0.0,0.0,0.0
495489,Hår,0.0,0.0,0.0
495490,Oil,0.0,0.0,0.0
495491,Shampoo,0.0,0.0,0.0
495494,Sæbe,0.0,0.0,0.0
495499,Gel,0.0,0.0,0.0
495500,Henna,0.0,0.0,0.0
495530,Øl Tilbud,0.0,0.0,0.0
495554,Happy Hour,0.0,0.0,0.0
497304,Wasabi Mayo,290.0,304.5,290.0
497305,Miso Aioli,160.0,168.0,160.0
497306,Chili Sauce,140.0,147.0,140.0
497307,Sød Chili Sauce,250.0,262.5,250.0
497398,Inari (Tofu) Nigiri,198.0,207.90000000000003,198.0
497399,Omelet Nigiri,234.0,245.70000000000002,234.0
497403,Spicy Laks Nigiri,506.0,531.3000000000001,506.0
497405,Tun Nigiri,475.0,498.75,475.0
497406,Tun Tataki Nigiri,325.0,341.25,325.0
497407,Spicy Tun Nigiri,325.0,341.25,325.0
497408,Rejer Nigiri,220.0,231.0,220.0
497609,Unspecified,0.0,0.0,0.0
497655,Rundstykker,0.0,0.0,0.0
497656,Brunch,0.0,0.0,0.0
497662,Is,0.0,0.0,0.0
497666,Kaffe,300.0,315.0,300.0
497667,Vand,500.0,525.0,500.0
497669,Øl,0.0,0.0,0.0
498039,Most glas,455.0,477.75,455.0
498088,Svind,0.0,0.0,0.0
498112,The,420.0,441.0,420.0
498120,Gavekort,0.0,0.0,0.0
498126,Unspecified,0.0,0.0,0.0
498148,Varm Chokolade,406.0,426.30000000000007,406.0
498170,Cocio,440.0,462.0,440.0
498178,Unspecified,0.0,0.0,0.0
498215,Diverse,0.0,0.0,0.0
498414,Unspecified,0.0,0.0,0.0
498645,Unspecified,0.0,0.0,0.0
498986,2 Retters Menu 1,27.56,28.938000000000006,27.560000000000002
499430,Veksle,0.0,0.0,0.0
500808,Unspecified,0.0,0.0,0.0
500900,Hvidløg,170.0,178.5,170.0
500901,Chili,55.0,57.75,55.0
500926,Unspecified,0.0,0.0,0.0
501094,Unspecified,0.0,0.0,0.0
501506,Unspecified,0.0,0.0,0.0
502007,Chorizo Toast,390.0,409.5,390.0
505158,Faxe Kondi Free,420.0,441.0,420.0
505192,Postevand med Isterninger 1 Glas,280.0,294.0,280.0
505202,Espresso,360.0,378.0,360.0
505696,Mango Nigiri (2 stk),360.0,378.0,360.0
505830,Aioli Sauce,150.0,157.5,150.0
505833,Soya,235.0,246.75,235.0
505852,Wasabi,125.0,131.25,125.0
505897,Grøn Jasmin,340.0,357.0,340.0
505939,Varm kakao,275.0,288.75,275.0
506836,P sprut,180.0,189.0,180.0
508373,Pølsehorn (Café),348.0,365.40000000000003,348.0
508384,Sandwich med Ost og Skinke (Café),495.0,519.75,495.0
508395,Kage (Café),370.0,388.5,370.0
508421,Kage,130.0,136.5,130.0
508430,Fransk Hotdog (Sjov Lørdag),320.0,336.0,320.0
508461,Skumbananer,450.0,472.5,450.0
508462,Brazil,228.0,239.40000000000003,228.0
508486,Pommes Frites med Nuggets (Personale),480.0,504.00000000000006,480.0
508488,Nachos med Dip (Personale),420.0,441.0,420.0
508501,Pizzasnegl (Personale),0.0,0.0,0.0
508511,Panini (Personale),0.0,0.0,0.0
508520,Kage (Personale),75.0,78.75,75.0
508791,Dåse,465.0,488.25,465.0
508798,Vand,360.0,378.0,360.0
510251,Extra charge,0.0,0.0,0.0
510775,Fransk Hotdog,512.0,537.6,512.0
511055,Unspecified,0.0,0.0,0.0
511992,Unspecified,0.0,0.0,0.0
512059,Unspecified,0.0,0.0,0.0
512368,Unspecified,0.0,0.0,0.0
514623,"Sodavand 1,50L",440.0,462.0,440.0
514624,"Sodavand 0,33L",325.0,341.25,325.0
514719,San Miguel,495.0,519.75,495.0
514728,Carlsberg Elephant,330.0,346.5,330.0
514752,Espresso,450.0,472.5,450.0
514760,Popcorn,325.0,341.25,325.0
515375,Double,230.0,241.5,230.0
515402,Gavekort,0.0,0.0,0.0
515403,Leje,0.0,0.0,0.0
515435,Tangsalat,504.0,529.2,504.0
520184,Søndag rafling,0.0,0.0,0.0
