id,place_id,created,title,type,multiple_selections,minimum_selections,maximum_selections,index,created_datetime
853499,789186,1705141011,Pitabrød Choice,Optional,0,1,1,4,2024-01-13T12:16:51
853500,789186,1705141011,Hjemmelavet Sandwich Choice,Optional,0,1,1,5,2024-01-13T12:16:51
853501,789186,1705141011,Size 2,Optional,0,1,1,6,2024-01-13T12:16:51
854980,498629,1705144358,Uden flødeskum,Optional,1,1,1,11,2024-01-13T13:12:38
855825,498629,1705146131,Uden flødeskum,Optional,0,0,1,12,2024-01-13T13:42:11
864732,806964,1705163331,Levering,Optional,0,1,1,7,2024-01-13T18:28:51
878278,453859,1705220899,Kiosk,Optional,0,1,1,0,2024-01-14T10:28:19
882947,552140,1705239413,Tilbud,Optional,0,1,1,29,2024-01-14T15:36:53
898465,498629,1705321018,Ingredienser,Optional,0,0,5,13,2024-01-15T14:16:58
898724,898548,1705321698,Size,Optional,0,1,1,0,2024-01-15T14:28:18
898725,898548,1705321698,Drink,Optional,0,1,1,1,2024-01-15T14:28:18
898726,898548,1705321698,Flavor,Optional,0,1,1,2,2024-01-15T14:28:18
903653,591944,1705336237,Ingen ekstra dressing,Optional,0,1,1,2,2024-01-15T18:30:37
903768,591944,1705336453,Grill retter ekstra,Optional,1,0,10,3,2024-01-15T18:34:13
905587,591944,1705340543,Ekstra flæsk/Steg,Optional,1,1,100,4,2024-01-15T19:42:23
908737,894032,1705380887,Size 1,Optional,0,1,1,0,2024-01-16T06:54:47
908738,894032,1705380887,Size 2,Optional,0,1,1,1,2024-01-16T06:54:47
908739,894032,1705380887,Size 3,Optional,0,1,1,2,2024-01-16T06:54:47
908740,894032,1705380887,Size 4,Optional,0,1,1,3,2024-01-16T06:54:47
908741,894032,1705380887,Size 5,Optional,0,1,1,4,2024-01-16T06:54:47
908742,894032,1705380887,Size 6,Optional,0,1,1,5,2024-01-16T06:54:47
908743,894032,1705380887,Size 7,Optional,0,1,1,6,2024-01-16T06:54:47
908744,894032,1705380887,Size 8,Optional,0,1,1,7,2024-01-16T06:54:47
908745,894032,1705380887,Size 9,Optional,0,1,1,8,2024-01-16T06:54:47
908746,894032,1705380887,Alm Ekstra Tilbehør,Optional,0,0,7,9,2024-01-16T06:54:47
908747,894032,1705380887,Fam Ekstra Tilbehør,Optional,0,0,7,10,2024-01-16T06:54:47
909082,790220,1705389602,Happy Hour Choice,Optional,0,1,1,0,2024-01-16T09:20:02
909083,790220,1705389602,Size 1,Optional,0,1,1,1,2024-01-16T09:20:02
911441,757577,1705401363,Ekstra Fyld,Optional,1,0,20,6,2024-01-16T12:36:03
913427,913419,1705405391,Size,Optional,0,1,1,0,2024-01-16T13:43:11
913428,913419,1705405391,Drink,Optional,0,1,1,1,2024-01-16T13:43:11
913429,913419,1705405391,Flavor,Optional,0,1,1,2,2024-01-16T13:43:11
916946,478433,1705415093,Double shot,Optional,0,1,1,20,2024-01-16T16:24:53
917025,478433,1705415340,Varme drikke size,Optional,0,1,1,21,2024-01-16T16:29:00
917047,478433,1705415397,Kaffe med spirtus,Optional,0,1,5,22,2024-01-16T16:29:57
